Original Publisher	Cleaned Publisher
AAAI Press	AAAI Press
AACR	American Association for Cancer Research
AACR Publications	American Association for Cancer Research
ACM	Association for Computing Machinery
ACS	American Chemical Society
ACS Publications	American Chemical Society
AGU	American Geophysical Union
AIP	American Institute of Physics
AIP Publishing	American Institute of Physics
AMERICAN CHEMICAL SOCIETY	American Chemical Society
AMERICAN COLLEGE OF CHEST PHYSICIANS	American College of Chest Physicians
AMERICAN GEOPHYSICAL UNION	American Geophysical Union
AMERICAN HEART ASSOCIATION	American Heart Association
AMERICAN PSYCHOLOGICAL ASSOCIATION	American Psychological Association
AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY	American Society for Biochemistry and Molecular Biology
AMERICAN SOCIETY FOR MICROBIOLOGY	American Society for Microbiology
AMERICAN SOCIETY OF MICROBIOLOGY	American Society of Microbiology
AMERICAN SOCIETY OF PLANT BIOLOGISTS	American Society of Plant Biologists
ANGEO / Copernicus	Copernicus
AOSIS open journals	AOSIS open journals
APA Journals	American Psychological Association
APS	American Physical Society
APS Journals	American Physical Society
ASBMB	American Society for Biochemistry and Molecular Biology
ASCE	American Society of Civil Engineers
ASLO	Association for the Sciences of Limnology & Oceanography
ASPB	American Society of Plant Biologists
Academic Press	Academic Press
Advanced Functional Materials	Advanced Functional Materials
Akademiai Kiado Rt.	Akademiai Kiado Rt.
American Association for Cancer Research	American Association for Cancer Research
American Association for the Advancement of Science	American Association for the Advancement of Science
American Association of Immunologists	American Association of Immunologists
American Association of Teachers of Spanish and Portuguese	American Association of Teachers of Spanish and Portuguese
American Chemical Society	American Chemical Society
American Chemical Society (ACS)	American Chemical Society
American College of Chest Physicians	American College of Chest Physicians
American Geophysical Union	American Geophysical Union
American Institute of Physics	American Institute of Physics
American Institute of Physics (AIP)	American Institute of Physics
American Mathematical Society	American Mathematical Society
American Meteorological Society	American Meteorological Society
American Physical Society	American Physical Society
American Physical Society (APS)	American Physical Society
American Physiological Society	American Physiological Society
American Psychological Association	American Psychological Association
American Psychological Association (APA)	American Psychological Association
American Scientific Publishers	American Scientific Publishers
American Society for Biochemistry	American Society for Biochemistry and Molecular Biology
American Society for Biochemistry and Molecular Biology	American Society for Biochemistry and Molecular Biology
American Society for Biochemistry and Molecular Biology (ASBMB)	American Society for Biochemistry and Molecular Biology
American Society for Biochemistry and Molecular Biology, Inc.	American Society for Biochemistry and Molecular Biology
American Society for Cell Biology	American Society for Cell Biology
American Society for Clinical Investigation	American Society for Clinical Investigation
American Society for Microbiology	American Society for Microbiology
American Society for Nutrition	American Society for Nutrition
American Society of Animal Science	American Society of Animal Science
American Society of Civil Engineers	American Society of Civil Engineers
American Society of Clinical Oncology	American Society of Clinical Oncology
American Society of Hematology	American Society of Hematology
American Society of Hematology / Dartmouth Journal Services	American Society of Hematology
American Society of Microbiology	American Society of Microbiology
American Society of Nutrition	American Society of Nutrition
American Society of Plant Biologists and Dartmouth Journal Services	American Society of Plant Biologists
Antiquity	Antiquity
Arctic Institute of North America	Arctic Institute of North America
Association for Computing Machinery	Association for Computing Machinery
Association for Computing Machinery (ACM)	Association for Computing Machinery
Association for Computing Machinery, Inc.	Association for Computing Machinery
Association for Psychological Siences	Association for Psychological Sciences
Association for Research in Vision and Ophthalmology	Association for Research in Vision and Ophthalmology
Association for Research in Vision and Ophthalmology (ARVO)	Association for Research in Vision and Ophthalmology
Association for the Sciences of Limnology & Oceanography	Association for the Sciences of Limnology & Oceanography
Association of Computing Machinery (ACM)	Association for Computing Machinery
Audio Engineering Society	Audio Engineering Society
B M J Group	BMJ Publishing
BIOMED CENTRAL	BioMed Central
BMC	BioMed Central
